209322000,"CARGO",57.302517,19.209988,17.3
209715000,"CARGO",59.89035,30.223417,0
209631000,"CARGO",59.387104,23.772408,11.1
209715000,"CARGO",59.890385,30.22325,0
209055000,"TANKER",59.8918,25.869816,13.8
209715000,"CARGO",59.89035,30.223417,0.5
209715000,"CARGO",59.890316,30.223417,0.1
209640000,"CARGO",57.31562,24.400642,0
209055000,"TANKER",59.915634,26.0505,13.8
209055000,"TANKER",59.555134,23.338966,15.4
209055000,"TANKER",59.72935,24.361717,14.4
209631000,"CARGO",59.332764,24.082464,0
209055000,"TANKER",59.706318,24.222616,14.8
209631000,"CARGO",59.332752,24.082466,0
209055000,"TANKER",59.843567,25.419916,14.7
209055000,"TANKER",59.8487,25.468134,14.7
209631000,"CARGO",59.389305,23.875217,11
209631000,"CARGO",59.332764,24.082504,0
209631000,"CARGO",59.332703,24.082228,0.2
209640000,"CARGO",57.315628,24.400646,0
209640000,"CARGO",57.315628,24.400646,0
209640000,"CARGO",57.315643,24.400654,0
209055000,"TANKER",59.721832,24.315666,14.5
209055000,"TANKER",59.519665,23.131634,15.3
209631000,"CARGO",59.33276,24.082478,0
209631000,"CARGO",59.332764,24.082485,0
209322000,"CARGO",57.13965,18.980536,17.3
209631000,"CARGO",59.381813,23.9791,10.7
209478000,"CARGO",60.48651,19.008001,15
209055000,"TANKER",59.926483,26.127768,13.6
209322000,"CARGO",56.952114,18.719881,17.6
209055000,"TANKER",59.603085,23.6217,14.8
209055000,"TANKER",59.479084,22.87385,15.3
209640000,"CARGO",57.31562,24.40065,0
209055000,"TANKER",59.9094,26.006367,13.8
209631000,"CARGO",59.33351,24.058346,8
209715000,"CARGO",59.89035,30.223467,0
209631000,"CARGO",59.332756,24.08247,0
209322000,"CARGO",56.997646,18.783182,17.4
209322000,"CARGO",57.232784,19.112421,17.4
209055000,"TANKER",59.538868,23.243166,15.1
209715000,"CARGO",59.8814,30.198166,0
209631000,"CARGO",59.332764,24.082476,0
209631000,"CARGO",59.332767,24.08249,0
209631000,"CARGO",59.33276,24.082476,0
209055000,"TANKER",59.85455,25.524433,14.5
209640000,"CARGO",57.31564,24.400652,0
209631000,"CARGO",59.33276,24.082478,0
209055000,"TANKER",59.8598,25.574917,14.1
209322000,"CARGO",57.0683,18.880781,17.3
209322000,"CARGO",57.162468,19.012653,17.3
209055000,"TANKER",59.4953,22.979416,15.2
209055000,"TANKER",59.833332,25.320366,14.5
209631000,"CARGO",59.33276,24.08247,0
209322000,"CARGO",57.32722,19.244474,17.4
209631000,"CARGO",59.332764,24.082481,0
209715000,"CARGO",59.890335,30.2233,0
209322000,"CARGO",56.800533,18.470234,17.6
209055000,"TANKER",59.83815,25.3706,14.5
209715000,"CARGO",59.890335,30.2233,0
209055000,"TANKER",59.65205,23.895067,14.8
209055000,"TANKER",59.8669,25.641283,13.9
209055000,"TANKER",59.886982,25.825068,13.7
209640000,"CARGO",57.315624,24.40064,0
209322000,"CARGO",56.92928,18.687996,17.6
